Designator,Mid X,Mid Y,Rotation,Layer
C1,43.7,-21.92,270.0,top
C10,41.88,-26.4,0.0,top
C11,48.48,-12.9,0.0,top
C12,36.8,-19.42,270.0,top
C13,39.38,-11.1,0.0,top
C14,38.52,-21.0,180.0,top
C15,37.22,-12.3,180.0,top
C2,48.725,-14.2,0.0,top
C3,29.975,-27.3,0.0,top
C4,33.0,-24.575,270.0,top
C5,44.7,-21.92,270.0,top
C6,67.42,-18.8,180.0,top
C7,48.775,-11.6,0.0,top
C8,35.075,-21.2,0.0,top
C9,38.42,-26.4,180.0,top
F1,16.6,-22.2,180.0,top
J1,15.338,-30.789,0.0,top
J4,4.674,-11.082,270.0,top
J5,78.689,-20.734,90.0,top
R1,48.49,-15.5,0.0,top
R2,45.7,-21.91,270.0,top
R3,18.91,-14.5,0.0,top
R4,67.39,-19.9,180.0,top
U1,30.1625,-24.75,0.0,top
U2,42.5,-16.0,0.0,top
U3,16.5125,-18.35,90.0,top
U4,65.9,-14.4,180.0,top
Y1,40.05,-24.0,180.0,top
